Time,Voltage,Total PDP
12:56.4,12.41,2.63
12:56.4,12.42,2.63
12:56.4,12.4,2.56
12:56.4,12.41,2.56
12:56.4,12.4,2.56
12:56.5,12.41,2.56
12:56.5,12.43,2.38
12:56.5,12.41,2.38
12:56.5,12.4,2.38
12:56.5,12.34,2.38
12:56.6,11.48,2.44
12:56.6,10.57,2.44
12:56.6,11.71,2.44
12:56.6,11.98,2.44
12:56.6,12.01,4.63
12:56.7,11.92,4.63
12:56.7,11.91,4.63
12:56.7,11.99,4.63
12:56.7,12.13,17.31
12:56.7,12.18,17.31
12:56.8,12.23,17.31
12:56.8,12.23,17.31
12:56.8,12.22,17.31
12:56.8,12.21,17.06
12:56.8,12.23,17.06
12:56.9,12.23,17.06
12:56.9,12.23,17.06
12:56.9,12.23,8.75
12:56.9,12.21,8.75
12:56.9,12.2,8.75
12:57.0,12.13,8.75
12:57.0,12.22,8.88
12:57.0,13.52,8.88
12:57.0,10.98,8.88
12:57.0,11.02,8.88
12:57.1,11.8,11.44
12:57.1,13.05,11.44
12:57.1,12.03,11.44
12:57.1,11.76,11.44
12:57.1,12.04,112.75
12:57.2,12.12,112.75
12:57.2,12.23,65.25
12:57.2,12.11,65.25
12:57.2,12.12,65.25
12:57.2,12.08,84.81
12:57.3,11.97,84.81
12:57.3,11.95,15.44
12:57.3,11.76,15.44
12:57.3,11.66,15.44
12:57.3,11.55,15.44
12:57.4,11.74,18.81
12:57.4,11.59,18.81
12:57.4,11.52,18.81
12:57.4,11.51,18.81
12:57.4,11.44,28.13
12:57.5,11.4,28.13
12:57.5,11.41,28.13
12:57.5,11.33,28.13
12:57.5,11.39,55.81
12:57.5,11.35,55.81
12:57.6,11.1,55.81
12:57.6,10.94,55.81
12:57.6,10.92,55.81
12:57.6,10.99,47.25
12:57.6,10.94,47.25
12:57.7,10.86,47.25
12:57.7,11.04,47.25
12:57.7,10.96,77.44
12:57.7,10.76,77.44
12:57.7,10.8,77.44
12:57.8,10.72,77.44
12:57.8,10.41,70.81
12:57.8,10.53,70.81
12:57.8,10.3,84.94
12:57.8,10.47,84.94
12:57.9,10.4,84.94
12:57.9,10.47,85.56
12:57.9,10.37,85.56
12:57.9,10.46,99.44
12:57.9,10.6,99.44
12:58.0,10.51,99.44
12:58.0,10.7,99.44
12:58.0,10.98,101.56
12:58.0,11.04,101.56
12:58.0,11.22,101.56
12:58.1,11.24,101.56
12:58.1,11.31,78.19
12:58.1,11.57,78.19
12:58.1,11.54,78.19
12:58.1,11.69,78.19
12:58.2,11.64,44.5
12:58.2,11.78,44.5
12:58.2,11.94,44.5
12:58.2,11.99,44.5
12:58.2,12.14,44.5
12:58.3,12.34,31.69
12:58.3,12.42,31.69
12:58.3,12.52,31.69
12:58.3,12.77,31.69
12:58.3,13.32,7.94
12:58.4,13.44,7.94
12:58.4,13.48,7.94
12:58.4,13.44,7.94
12:58.4,13.33,4
12:58.4,13.23,4
12:58.5,13.27,4
12:58.5,13.17,4
12:58.5,12.94,2.63
12:58.5,12.8,2.63
12:58.5,12.79,2.63
12:58.6,12.84,2.63
12:58.6,12.77,4.94
12:58.6,12.5,4.94
12:58.6,12.41,4.69
12:58.6,12.38,4.69
12:58.7,12.2,6.5
12:58.7,12.19,6.5
12:58.7,11.75,14.81
12:58.7,12.26,14.81
12:58.7,12.41,14.81
12:58.8,12.02,14.81
12:58.8,12.1,14.81
12:58.8,12.09,9.88
12:58.8,12.2,9.88
12:58.8,12.24,9.88
12:58.9,12.18,9.88
12:58.9,12.1,6.13
12:58.9,11.94,6.13
12:58.9,11.92,6.13
12:58.9,11.92,6.13
12:59.0,11.9,5.81
12:59.0,11.77,5.81
12:59.0,11.71,5.81
12:59.0,11.62,5.81
12:59.0,11.68,18.13
12:59.1,11.65,18.13
12:59.1,11.55,18.13
12:59.1,11.54,18.13
12:59.1,11.13,34
12:59.1,11.37,34
12:59.2,11.52,34
12:59.2,11.57,34
12:59.2,11.59,46.63
12:59.2,11.12,46.63
12:59.2,10.62,46.63
12:59.3,11.14,46.63
12:59.3,11.77,46.63
12:59.3,11.85,44.19
12:59.3,11.66,44.19
12:59.3,11.03,44.19
12:59.4,11.12,44.19
12:59.4,10.52,36.5
12:59.4,10.18,36.5
12:59.4,10.48,36.5
12:59.4,10.72,36.5
12:59.5,11.22,82.63
12:59.5,11.51,82.63
12:59.5,11.18,82.63
12:59.5,10.81,82.63
12:59.5,10.85,82.63
12:59.6,11.1,67.75
12:59.6,10.98,67.75
12:59.6,10.75,74.31
12:59.6,11.15,74.31
12:59.6,11.15,74.31
12:59.7,11.21,74.31
12:59.7,11.23,70.31
12:59.7,11.16,70.31
12:59.7,11.04,70.31
12:59.7,11.55,70.31
12:59.8,11.63,46.38
12:59.8,11.49,46.38
12:59.8,11.41,46.38
12:59.8,11.59,46.38
12:59.8,11.77,46.38
12:59.9,11.86,32.44
12:59.9,11.89,32.44
12:59.9,12.01,32.44
12:59.9,12.1,32.44
12:59.9,12.13,25.69
13:00.0,12.23,25.69
13:00.0,12.27,10.69
13:00.0,12.32,10.69
13:00.0,12.49,10.69
13:00.0,12.52,10.69
13:00.1,12.53,4.06
13:00.1,12.55,4.06
13:00.1,12.66,4.06
13:00.1,12.7,3.38
13:00.1,12.56,3.38
13:00.2,12.63,3.13
13:00.2,12.62,3.13
13:00.2,12.59,3.13
13:00.2,12.55,3.13
13:00.2,12.51,4
13:00.3,12.46,4
13:00.3,12.36,4
13:00.3,12.37,4
13:00.3,11.87,5.38
13:00.3,11.66,5.38
13:00.4,11.24,5.38
13:00.4,11.16,5.38
13:00.4,11.26,5.38
13:00.4,11.07,10.13
13:00.4,10.82,10.13
13:00.5,11.23,10.13
13:00.5,11.48,10.13
13:00.5,11.54,70.13
13:00.5,11.52,70.13
13:00.5,11.68,61.5
13:00.6,11.64,61.5
13:00.6,11.62,54
13:00.6,11.62,54
13:00.6,11.7,37.75
13:00.6,11.75,37.75
13:00.7,11.76,37.75
13:00.7,11.81,37.75
13:00.7,11.84,37.75
13:00.7,11.86,31.25
13:00.7,11.88,31.25
13:00.8,11.9,31.25
13:00.8,11.91,31.25
13:00.8,11.9,21
13:00.8,11.92,21
13:00.8,11.93,21
13:00.9,11.94,21
13:00.9,11.95,16.88
13:00.9,11.96,16.88
13:00.9,11.97,16.88
13:00.9,11.96,16.88
13:01.0,11.98,14.38
13:01.0,11.98,14.38
13:01.0,11.96,14.38
13:01.0,11.99,14.38
13:01.0,11.98,13
13:01.1,12,13
13:01.1,11.98,13
13:01.1,11.98,13
13:01.1,11.99,13
13:01.1,11.97,12.88
13:01.2,12.01,12.88
13:01.2,12,12.88
13:01.2,11.99,12.88
13:01.2,12,12.5
13:01.2,12,12.5
13:01.3,12.02,12.5
13:01.3,12.02,12.5
13:01.3,12.02,12.13
13:01.3,12,12.13
13:01.3,12.01,12.13
13:01.4,12.03,12.13
13:01.4,12.01,13.13
13:01.4,12.03,13.13
13:01.4,12.02,13.13
13:01.4,12,13.13
13:01.5,12,14.44
13:01.5,12.02,14.44
13:01.5,12,13.94
13:01.5,12,13.94
13:01.5,12.02,13.81
13:01.6,12,13.81
13:01.6,12,13.81
13:01.6,11.98,13.75
13:01.6,12,13.75
13:01.6,12.02,13.75
13:01.7,12.03,13.75
13:01.7,12,14.25
13:01.7,12.02,14.25
13:01.7,12.02,14.25
13:01.7,12.04,14.25
13:01.8,12.04,13.13
13:01.8,12.01,13.13
13:01.8,12.02,13.13
13:01.8,12.04,13.13
13:01.8,12.02,12
13:01.9,12,12
13:01.9,12,12
13:01.9,12.01,12
13:01.9,12.07,13.94
13:01.9,12.24,13.94
13:02.0,12.32,13.94
13:02.0,12.37,13.94
13:02.0,12.03,13.94
13:02.0,11.71,13.94
13:02.0,11.25,14
13:02.1,11.43,14
13:02.1,11.54,3.44
13:02.1,11.66,3.44
13:02.1,11.87,3.44
13:02.1,11.84,3.44
13:02.2,12,54.19
13:02.2,12.11,54.19
13:02.2,12.09,54.19
13:02.2,12.12,54.19
13:02.2,12.14,22.81
13:02.3,11.77,22.81
13:02.3,11.72,22.81
13:02.3,11.66,22.81
13:02.3,10.73,6.94
13:02.3,11.89,6.94
13:02.4,11.86,6.94
13:02.4,12.34,6.94
13:02.4,11.68,6.94
13:02.4,11.59,43.81
13:02.4,12.17,43.81
13:02.5,12.21,43.81
13:02.5,11.82,43.81
13:02.5,11.79,4.25
13:02.5,11.7,4.25
13:02.5,12.16,4.25
13:02.6,12.05,4.25
13:02.6,12.09,4.25
13:02.6,12.06,3.13
13:02.6,12.06,3.13
13:02.6,12.1,8.31
13:02.7,12.04,8.31
13:02.7,12.02,8.31
13:02.7,12.02,8.31
13:02.7,11.99,8.19
13:02.7,11.94,8.19
13:02.8,11.95,8.19
13:02.8,11.85,8.19
13:02.8,11.82,15.63
13:02.8,11.75,15.63
13:02.8,11.82,15.63
13:02.9,11.9,15.63
13:02.9,11.99,18.81
13:02.9,12.02,18.81
13:02.9,12.16,18.81
13:02.9,12.2,18.81
13:03.0,12.28,24.06
13:03.0,12.23,24.06
13:03.0,12.2,24.06
13:03.0,12.16,24.06
13:03.0,12,5.25
13:03.1,11.96,5.25
13:03.1,11.86,5.25
13:03.1,11.79,5.25
13:03.1,11.75,5.25
13:03.1,11.62,7.44
13:03.2,11.6,7.44
13:03.2,11.61,7.44
13:03.2,11.47,7.44
13:03.2,11.34,23.25
13:03.2,11.1,23.25
13:03.3,11.04,23.25
13:03.3,11.03,23.25
13:03.3,9.76,34.44
13:03.3,10.03,34.44
13:03.3,10.44,62
13:03.4,10.5,62
13:03.4,10.32,62
13:03.4,10.39,62
13:03.4,10.56,62
13:03.4,10.28,92.81
13:03.5,10.04,92.81
13:03.5,9.69,92.81
13:03.5,9.84,92.81
13:03.5,10,97.5
13:03.5,10.18,97.5
13:03.6,9.84,97.5
13:03.6,9.73,97.5
13:03.6,10.05,127.56
13:03.6,10.2,127.56
13:03.6,10.01,127.56
13:03.7,9.86,127.56
13:03.7,9.75,115.63
13:03.7,9.97,115.63
13:03.7,9.93,115.63
13:03.7,9.72,115.63
13:03.8,10.24,115.63
13:03.8,10.42,131.5
13:03.8,10.43,131.5
13:03.8,10.39,131.5
13:03.8,10.3,131.5
13:03.9,10.25,124.06
13:03.9,10.57,124.06
13:03.9,10.75,124.06
13:03.9,10.83,124.06
13:03.9,11.05,99.5
13:04.0,11.32,99.5
13:04.0,11.46,99.5
13:04.0,11.59,99.5
13:04.0,11.8,67.44
13:04.0,11.93,67.44
13:04.1,11.97,69.56
13:04.1,12.09,69.56
13:04.1,12.02,30.25
13:04.1,12,30.25
13:04.1,12.11,29.5
13:04.2,12.34,29.5
13:04.2,12.3,26.13
13:04.2,12.29,26.13
13:04.2,12.26,22.5
13:04.2,12.36,22.5
13:04.3,12.54,22.5
13:04.3,12.46,22.5
13:04.3,12.34,22.5
13:04.3,12.27,14.94
13:04.3,12.14,14.94
13:04.4,12.01,14.94
13:04.4,12.08,14.94
13:04.4,12.11,11.19
13:04.4,12.23,11.19
13:04.4,12.21,11.19
13:04.5,12.59,11.19
13:04.5,12.51,19.88
13:04.5,12.34,19.88
13:04.5,12.23,19.88
13:04.5,12.34,19.88
13:04.6,12.43,3.94
13:04.6,12.25,3.94
13:04.6,12.27,3.94
13:04.6,12.21,3.94
13:04.6,12.07,8.63
13:04.7,12.08,8.63
13:04.7,11.9,8.63
13:04.7,11.87,8.63
13:04.7,11.77,6.13
13:04.7,11.79,6.13
13:04.8,11.82,6.13
13:04.8,11.66,6.13
13:04.8,11.52,6.13
13:04.8,11.56,23.13
13:04.8,11.41,23.13
13:04.9,11.44,23.13
13:04.9,11.3,23.13
13:04.9,11.62,28.81
13:04.9,11.72,28.81
13:04.9,11.56,28.81
13:05.0,11.46,28.81
13:05.0,11.89,41.75
13:05.0,11.9,41.75
13:05.0,11.6,41.75
13:05.0,11.14,41.75
13:05.1,10.38,35
13:05.1,10.48,35
13:05.1,10.85,52.13
13:05.1,11.15,52.13
13:05.1,10.62,52.13
13:05.2,10.42,52.13
13:05.2,10.75,68.56
13:05.2,11.01,68.56
13:05.2,10.16,68.56
13:05.2,9.74,68.56
13:05.3,10.4,77.44
13:05.3,10.5,77.44
13:05.3,10.56,77.44
13:05.3,10.5,77.44
13:05.3,10.11,77.44
13:05.4,10.08,102
13:05.4,10.38,102
13:05.4,10.59,102
13:05.4,9.54,102
13:05.4,9.2,124
13:05.5,10.23,124
13:05.5,10.7,124
13:05.5,10.97,124
13:05.5,10.8,155.56
13:05.5,11.03,155.56
13:05.6,10.96,155.56
13:05.6,11.12,155.56
13:05.6,11.26,74.13
13:05.6,11.34,74.13
13:05.6,11.26,74.13
13:05.7,11.33,74.13
13:05.7,11.41,51.88
13:05.7,11.59,51.88
13:05.7,11.79,51.88
13:05.7,11.99,51.88
13:05.8,12.04,45.31
13:05.8,12.04,45.31
13:05.8,12.2,45.31
13:05.8,12.26,45.31
13:05.8,11.86,45.31
13:05.9,12.09,15.13
13:05.9,11.97,15.13
13:05.9,12.02,15.13
13:05.9,12.02,15.13
13:05.9,12.29,12.38
13:06.0,12.33,12.38
13:06.0,12.39,12.38
13:06.0,12.63,12.38
13:06.0,12.84,21.31
13:06.0,12.8,21.31
13:06.1,12.67,3.69
13:06.1,12.68,3.69
13:06.1,12.87,2.75
13:06.1,12.75,2.75
13:06.1,12.59,6.94
13:06.2,12.53,6.94
13:06.2,12.56,6.94
13:06.2,12.55,6.94
13:06.2,12.52,6.94
13:06.2,12.38,6
13:06.3,12.41,6
13:06.3,12.48,6
13:06.3,12.45,6
13:06.3,12.37,5.19
13:06.3,12.12,5.19
13:06.4,11.98,5.19
13:06.4,12.21,5.19
13:06.4,12.2,6.19
13:06.4,11.13,6.19
13:06.4,11.72,6.19
13:06.5,11.92,6.19
13:06.5,12.01,5.81
13:06.5,12.09,5.81
13:06.5,12.13,5.81
13:06.5,12.16,5.81
13:06.6,12.2,16.13
13:06.6,12.18,16.13
13:06.6,12.19,16.13
13:06.6,12.2,16.13
13:06.6,12.19,7.13
13:06.7,12.21,7.13
13:06.7,12.2,7.13
13:06.7,12.2,7.13
13:06.7,12.2,7.13
13:06.7,12.23,6.13
13:06.8,12.21,6.13
13:06.8,12.21,6.13
13:06.8,12.22,6.13
13:06.8,12.2,6
13:06.8,12.24,6
13:06.9,12.24,6
13:06.9,12.23,6
13:06.9,12.24,6.31
13:06.9,12.31,6.31
13:06.9,12.31,6.31
13:07.0,12.32,6.31
13:07.0,12.32,6.13
13:07.0,12.33,6.13
13:07.0,12.32,2.38
13:07.0,10.63,2.38
13:07.1,10.24,2.38
13:07.1,12.06,2.38
13:07.1,12.54,3.31
13:07.1,12.27,3.31
13:07.1,12.11,3.31
13:07.2,11.93,3.31
13:07.2,11.88,3.31
13:07.2,11.81,3.13
13:07.2,11.68,3.13
13:07.2,11.75,3.13
13:07.3,11.68,3.13
13:07.3,11.49,25.75
13:07.3,11.46,25.75
13:07.3,11.43,25.75
13:07.3,11.37,25.75
13:07.4,11.21,40.69
13:07.4,11.3,40.69
13:07.4,11.16,40.69
13:07.4,11.18,40.69
13:07.4,11.16,51.13
13:07.5,11.26,51.13
13:07.5,11.08,51.13
13:07.5,11.14,51.13
13:07.5,11.21,54.38
13:07.5,11.02,54.38
13:07.6,11.16,54.38
13:07.6,11.3,54.38
13:07.6,11.34,54.38
13:07.6,11.41,57.5
13:07.6,11.54,57.5
13:07.7,11.66,57.5
13:07.7,11.6,57.5
13:07.7,11.59,54.13
13:07.7,11.72,54.13
13:07.7,11.84,54.13
13:07.8,11.95,54.13
13:07.8,12.05,27.31
13:07.8,12.16,27.31
13:07.8,12.23,27.31
13:07.8,12.27,27.31
13:07.9,12.34,21.13
13:07.9,12.36,21.13
13:07.9,12.38,8.19
13:07.9,12.34,8.19
13:07.9,12.35,8.19
13:08.0,12.38,8.19
13:08.0,12.27,8.13
13:08.0,12.33,8.13
13:08.0,12.32,8.13
13:08.0,12.26,8.13
13:08.1,12.43,8.13
13:08.1,12.68,13.19
13:08.1,11.59,13.19
13:08.1,10.36,13.19
13:08.1,11.5,13.19
13:08.2,11.87,10.06
13:08.2,12.01,10.06
13:08.2,12.08,10.06
13:08.2,12.1,10.06
13:08.2,12.14,32.44
13:08.3,11.99,32.44
13:08.3,11.72,32.44
13:08.3,11.73,32.44
13:08.3,11.67,32.44
13:08.3,11.69,11.13
13:08.4,11.68,11.13
13:08.4,11.62,11.13
13:08.4,11.29,11.13
13:08.4,11.2,34.94
13:08.4,11.39,34.94
13:08.5,11.32,34.94
13:08.5,11.18,34.94
13:08.5,11.16,35.5
13:08.5,11.12,35.5
13:08.5,11.16,35.5
13:08.6,10.91,35.5
13:08.6,10.69,59.06
13:08.6,11.2,59.06
13:08.6,11.23,59.06
13:08.6,10.94,59.06
13:08.7,10.67,59.44
13:08.7,10.77,59.44
13:08.7,10.92,55.5
13:08.7,10.84,55.5
13:08.7,10.64,55.5
13:08.8,10.56,55.5
13:08.8,10.83,82.75
13:08.8,10.67,82.75
13:08.8,10.65,82.75
13:08.8,10.62,82.75
13:08.9,11.04,82.75
13:08.9,11.46,64.06
13:08.9,11.71,64.06
13:08.9,11.97,64.06
13:08.9,12.14,64.06
13:09.0,12.13,52.31
13:09.0,12.12,52.31
13:09.0,12.05,52.31
13:09.0,11.46,52.31
13:09.0,11.09,7.69
13:09.1,11.24,7.69
13:09.1,10.89,7.69
13:09.1,10.16,7.69
13:09.1,10.33,67.38
13:09.1,10.62,67.38
13:09.2,10.73,67.38
13:09.2,10.82,67.38
13:09.2,10.8,125.25
13:09.2,10.94,125.25
13:09.2,11.27,125.25
13:09.3,11.09,125.25
13:09.3,11.16,78.69
13:09.3,11.39,78.69
13:09.3,11.48,78.69
13:09.3,11.53,78.69
13:09.4,11.59,78.69
13:09.4,11.65,75.06
13:09.4,11.63,75.06
13:09.4,11.52,75.06
13:09.4,11.96,75.06
13:09.5,12.14,37.69
13:09.5,12.26,37.69
13:09.5,12.34,37.69
13:09.5,12.48,37.69
13:09.5,12.23,46.75
13:09.6,12.16,46.75
13:09.6,12.2,19.38
13:09.6,12.29,19.38
13:09.6,12.24,19.38
13:09.6,12.29,9.31
13:09.7,12.27,9.31
13:09.7,12.3,5.69
13:09.7,12.32,5.69
13:09.7,12.3,5.69
13:09.7,12.27,5.69
13:09.8,12.29,3.81
13:09.8,12.3,3.81
13:09.8,12.26,3.81
13:09.8,12.13,3.81
13:09.8,11.99,3.81
13:09.9,11.94,3.63
13:09.9,11.91,3.63
13:09.9,11.94,3.63
13:09.9,11.84,3.63
13:09.9,11.96,13.19
13:10.0,12,13.19
13:10.0,11.97,13.19
13:10.0,11.89,13.19
13:10.0,11.86,22.56
13:10.0,11.95,22.56
13:10.1,11.99,22.44
13:10.1,12.05,22.44
13:10.1,12.02,22.44
13:10.1,11.98,22.44
13:10.1,12.04,22.44
13:10.2,12.07,13.25
13:10.2,12.08,13.25
13:10.2,12.04,13.25
13:10.2,12.06,13.25
13:10.2,12.07,12.19
13:10.3,12.05,12.19
13:10.3,12.05,12.19
13:10.3,12.05,12.19
13:10.3,12.07,15.06
13:10.3,12.05,15.06
13:10.4,12.05,15.06
13:10.4,12.06,15.06
13:10.4,12.06,15.25
13:10.4,12.07,15.25
13:10.4,12.08,15.25
13:10.5,12.1,15.25
13:10.5,12.11,15.25
13:10.5,12.09,11.63
13:10.5,12.08,11.63
13:10.5,12.08,11.63
13:10.6,12.11,11.63
13:10.6,12.11,12.31
13:10.6,12.11,12.31
13:10.6,12.09,12.31
13:10.6,12.07,12.31
13:10.7,12.09,13.88
13:10.7,12.07,13.88
13:10.7,12.1,13.88
13:10.7,12.07,11.69
13:10.7,12.05,11.69
13:10.8,12.07,11.69
13:10.8,12.06,11.69
13:10.8,12.1,12.38
13:10.8,12.07,12.38
13:10.8,12.05,12.38
13:10.9,12.09,12.38
13:10.9,12.11,14.13
13:10.9,12.07,14.13
13:10.9,12.09,14.13
13:10.9,12.08,14.13
13:11.0,12.09,12.75
13:11.0,12.07,12.75
13:11.0,12.08,12.75
13:11.0,12.09,12.75
13:11.0,12.08,11.44
13:11.1,12.03,11.44
13:11.1,12.09,11.44
13:11.1,12.09,11.44
13:11.1,12.09,11.44
13:11.1,12.09,14
13:11.2,12.07,14
13:11.2,12.05,14
13:11.2,12.07,14
13:11.2,12.08,14.69
13:11.2,12.07,14.69
13:11.3,12.09,14.69
13:11.3,12.3,14.69
13:11.3,12.33,12.94
13:11.3,12.31,12.94
13:11.3,12.33,12.94
13:11.4,12.34,12.94
13:11.4,12.34,12.19
13:11.4,12.34,12.19
13:11.4,12.36,2.38
13:11.4,12.32,2.38
13:11.5,12.33,2.38
13:11.5,12.32,2.38
13:11.5,12.32,2.38
13:11.5,12.34,2.56
13:11.5,12.33,2.56
13:11.6,12.34,2.56
13:11.6,12.34,2.56
13:11.6,9.98,3.44
13:11.6,12.06,3.44
13:11.6,12.47,3.44
13:11.7,12.36,3.44
13:11.7,12.33,61.44
13:11.7,12.32,61.44
13:11.7,12.32,61.44
13:11.7,12.35,61.44
13:11.8,12.33,61.44
13:11.8,12.34,2.69
13:11.8,12.31,2.69
13:11.8,12.3,2.69
13:11.8,12.29,2.69
13:11.9,12.31,2.5
13:11.9,12.33,2.5
13:11.9,12.33,2.5
13:11.9,12.35,2.5
13:11.9,12.34,4.63
13:12.0,12.36,4.63
13:12.0,12.36,4.63
13:12.0,12.36,4.63
13:12.0,12.36,2.69
13:12.0,12.35,2.69
13:12.1,12.37,2.69
13:12.1,12.36,2.69
13:12.1,12.35,2.56
13:12.1,12.36,2.56
13:12.1,12.37,2.56
13:12.2,12.37,2.56
13:12.2,12.38,2.44
13:12.2,12.38,2.44
13:12.2,12.39,2.44
13:12.2,12.38,2.44
13:12.3,12.36,2.44
13:12.3,12.38,2.44
13:12.3,12.37,2.5
13:12.3,12.38,2.5
13:12.3,12.38,2.5
13:12.4,12.38,2.5
13:12.4,12.38,2.5
13:12.4,12.38,2.56
13:12.4,12.38,2.56
13:12.4,12.38,2.56
13:12.5,12.38,2.56
13:12.5,12.38,2.5
13:12.5,12.38,2.5
13:12.5,12.37,2.5
13:12.5,12.38,2.5
13:12.6,12.37,2.5
13:12.6,12.38,2.5
13:12.6,12.38,2.5
13:12.6,12.38,2.5
13:12.6,12.39,2.5
13:12.7,12.37,2.56
13:12.7,12.37,2.56
13:12.7,12.38,2.56
13:12.7,12.38,2.56
13:12.7,12.38,2.69
13:12.8,12.38,2.69
13:12.8,12.38,2.69
13:12.8,12.38,2.69
13:12.8,12.39,2.56
13:12.8,12.4,2.56
13:12.9,12.38,2.56
13:12.9,12.39,2.56
13:12.9,12.38,2.63
13:12.9,12.38,2.63
13:12.9,12.39,2.63
13:13.0,12.39,2.63
13:13.0,12.38,2.5
13:13.0,12.41,2.5
13:13.0,12.41,2.5
13:13.0,12.4,2.5
13:13.1,12.39,2.56
13:13.1,12.38,2.56
13:13.1,12.4,2.5
13:13.1,12.39,2.5
13:13.1,12.39,2.5
13:13.2,12.39,2.5
13:13.2,12.39,2.5
13:13.2,12.38,2.5
13:13.2,12.39,2.5
13:13.2,12.39,2.5
13:13.3,12.38,2.5
13:13.3,12.39,2.44
13:13.3,12.39,2.44
13:13.3,12.41,2.44
13:13.3,12.4,2.44
13:13.4,12.4,2.38
13:13.4,12.39,2.38
13:13.4,12.39,2.38
13:13.4,12.41,2.38
13:13.4,12.39,2.38
13:13.5,12.41,2.38
13:13.5,12.39,2.38
13:13.5,12.41,2.38
13:13.5,12.41,2.5
13:13.5,12.39,2.5
13:13.6,12.41,2.5
13:13.6,12.41,2.5
13:13.6,12.41,2.69
13:13.6,12.4,2.69
13:13.6,12.41,2.69
13:13.7,12.39,2.69
13:13.7,12.39,2.69
13:13.7,12.41,2.56
13:13.7,12.39,2.56
13:13.7,12.39,2.56
13:13.8,12.4,2.56
13:13.8,12.4,2.5
13:13.8,12.4,2.5
13:13.8,12.41,2.5
13:13.8,12.41,2.5
13:13.9,12.41,2.56
13:13.9,12.4,2.56
13:13.9,12.4,2.56
13:13.9,12.41,2.56
13:13.9,12.41,2.63
13:14.0,12.4,2.63
13:14.0,12.41,2.63
13:14.0,12.41,2.63
13:14.0,12.42,2.63
13:14.0,12.41,2.63
13:14.1,12.42,2.56
13:14.1,12.41,2.56
13:14.1,12.41,2.56
13:14.1,12.43,2.56
13:14.1,12.41,2.56
13:14.2,12.41,2.5
13:14.2,12.41,2.5
13:14.2,12.41,2.5
13:14.2,12.41,2.5
13:14.2,12.43,2.44
13:14.3,12.43,2.44
13:14.3,12.42,2.44
13:14.3,12.42,2.44
13:14.3,12.42,2.63
13:14.3,12.41,2.63
13:14.4,12.42,2.63
13:14.4,12.41,2.63
13:14.4,12.41,2.5
13:14.4,12.43,2.5
13:14.4,12.41,2.5
13:14.5,12.42,2.5
13:14.5,12.42,2.44
13:14.5,12.41,2.44
13:14.5,12.41,2.44
13:14.5,12.41,2.44
13:14.6,12.42,2.44
13:14.6,12.42,2.44
13:14.6,12.42,2.44
13:14.6,12.43,2.44
13:14.6,12.43,2.44
13:14.7,12.4,2.56
13:14.7,12.43,2.56
13:14.7,12.42,2.56
13:14.7,12.4,2.56
13:14.7,12.41,2.56
13:14.8,12.41,2.56
13:14.8,12.42,2.56
13:14.8,12.41,2.56
13:14.8,12.41,3
13:14.8,12.42,3
13:14.9,12.43,2.56
13:14.9,12.43,2.56
13:14.9,12.42,2.56
13:14.9,12.43,2.56
13:14.9,12.41,2.5
13:15.0,12.43,2.5
13:15.0,12.42,2.5
13:15.0,12.43,2.5
13:15.0,12.44,2.44
13:15.0,12.41,2.44
13:15.1,12.41,2.44
13:15.1,12.41,2.44
13:15.1,12.41,2.44
13:15.1,12.43,2.81
13:15.1,12.43,2.81
13:15.2,12.43,2.81
13:15.2,12.43,2.81
13:15.2,12.41,2.81
13:15.2,12.43,2.81
13:15.2,12.43,2.81
13:15.3,12.45,2.81
13:15.3,10.38,2.56
13:15.3,11.95,2.56
13:15.3,11.94,2.56
13:15.3,11.24,2.56
13:15.4,11.04,8.94
13:15.4,10.55,8.94
13:15.4,10.54,8.94
13:15.4,10.11,8.94
13:15.4,9.99,43.06
13:15.5,10.06,43.06
13:15.5,10.15,43.06
13:15.5,10.38,43.06
13:15.5,10.54,125.81
13:15.5,10.48,125.81
13:15.6,10.46,125.81
13:15.6,10.7,125.81
13:15.6,10.75,125.81
13:15.6,10.82,113.13
13:15.6,10.82,113.13
13:15.7,10.88,113.13
13:15.7,10.89,113.13
13:15.7,10.9,89.56
13:15.7,10.94,89.56
13:15.7,11.25,89.56
13:15.8,11.52,89.56
13:15.8,11.72,65.31
13:15.8,11.95,65.31
13:15.8,12.05,65.31
13:15.8,12.09,65.31
13:15.9,12.08,54.81
13:15.9,12.06,54.81
13:15.9,11.59,12.31
13:15.9,11.31,12.31
13:15.9,11.85,12.31
13:16.0,11.91,12.31
13:16.0,11.89,89
13:16.0,11.78,89
13:16.0,11.68,89
13:16.0,11.63,89
13:16.1,11.62,89
13:16.1,11.55,23.69
13:16.1,10.99,23.69
13:16.1,11.05,23.69
13:16.1,11.02,23.69
13:16.2,11.17,36.38
13:16.2,11.3,36.38
13:16.2,10.42,36.38
13:16.2,10.51,36.38
13:16.2,10.62,65.88
13:16.3,10.02,65.88
13:16.3,10,65.88
13:16.3,10.94,65.88
13:16.3,9.41,102.5
13:16.3,9.7,102.5
13:16.4,10.29,102.5
13:16.4,10.9,102.5
13:16.4,9.93,56.75
13:16.4,10.13,56.75
13:16.4,10.5,56.75
13:16.5,10.73,56.75
13:16.5,10.8,73.06
13:16.5,10.02,73.06
13:16.5,9.5,73.06
13:16.5,10.19,73.06
13:16.6,10.58,77.81
